選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
*羽田　慎之介,24,1,1,0,2,3,0,0,0,0.5,98,21.1,20,0,14,0,3,25,1,1,7,7,2.95
*浜屋　将太,16,0,0,0,0,0,0,0,0,0,60,14,13,0,10,0,0,12,1,0,8,7,4.5
ボー・タカハシ,4,0,0,0,0,0,0,0,0,0,27,5,12,0,1,0,0,4,0,0,6,6,10.8
松本　航,3,0,2,0,0,0,0,0,0,0,59,14,14,3,5,0,0,12,0,0,10,10,6.43
豆田　泰志,3,0,0,0,0,0,0,0,0,0,17,4,5,0,0,0,0,6,0,0,0,0,0
水上　由伸,5,0,0,0,0,0,0,0,0,0,25,5.2,7,0,2,0,1,3,0,0,0,0,0
山田　陽翔,49,3,3,1,17,20,0,0,0,0.5,201,47.2,46,3,17,0,1,31,1,0,12,11,2.08
與座　海人,16,6,5,0,0,0,1,0,0,0.545,377,93.2,74,10,16,0,9,44,0,0,30,26,2.5
Ｅ．ラミレス,27,1,0,0,7,8,0,0,0,1,106,26.2,16,1,12,1,0,28,2,0,3,3,1.01
渡邉　勇太朗,23,7,9,0,0,0,1,1,1,0.438,565,134,127,9,38,0,4,81,3,0,47,40,2.69
